"Freq [GHz]","dB(S(1,1)) []"
3.79,-1.72099017983721
3.8,-1.73930765759151
3.81,-1.7577581879565
3.82,-1.7763410942772
3.83,-1.79505566339995
3.84,-1.81390114569513
3.85,-1.83287675512144
3.86,-1.85198166933389
3.87,-1.87121502983766
3.88,-1.89057594219056
3.89,-1.91006347625631
3.9,-1.92967666651135
3.91,-1.94941451240813
3.92,-1.96927597879737
3.93,-1.98925999641268
3.94,-2.00936546242038
3.95,-2.02959124103785
3.96,-2.04993616422388
3.97,-2.07039903244436
3.98,-2.09097861551699
3.99,-2.11167365353888
4,-2.13248285790079
4.01,-2.15340491239199
4.02,-2.1744384744
4.03,-2.19558217620932
4.04,-2.21683462640344
4.05,-2.23819441137474
4.06,-2.25966009694639
4.07,-2.28123023011126
4.08,-2.30290334089198
4.09,-2.32467794432701
4.1,-2.34655254258727
4.11,-2.36852562722775
4.12,-2.39059568157868
4.13,-2.41276118328066
4.14,-2.43502060696782
4.15,-2.45737242710319
4.16,-2.47981512096996
4.17,-2.50234717182213
4.18,-2.52496707219761
4.19,-2.54767332739659
4.2,-2.57046445912715
4.21,-2.59333900931991
4.22,-2.61629554411254
4.23,-2.63933265800443
4.24,-2.6624489781808
4.25,-2.68564316900488
4.26,-2.70891393667549
4.27,-2.73226003404638
4.28,-2.75568026560265
4.29,-2.779173492588
4.3,-2.80273863827545
4.31,-2.82637469337261
4.32,-2.85008072155108
4.33,-2.87385586508814
4.34,-2.89769935060718
4.35,-2.92161049490165
4.36,-2.94558871082619
4.37,-2.96963351323627
4.38,-2.9937445249571
4.39,-3.01792148276061
4.4,-3.04216424332844
4.41,-3.06647278917773
4.42,-3.0908472345262
4.43,-3.11528783107217
4.44,-3.13979497366575
4.45,-3.16436920584767
4.46,-3.18901122523344
4.47,-3.21372188872231
4.48,-3.23850221751305
4.49,-3.26335340191147
4.5,-3.28827680591938
4.51,-3.3132739715991
4.52,-3.33834662321429
4.53,-3.36349667115469
4.54,-3.38872621566103
4.55,-3.41403755037553
4.56,-3.43943316575454
4.57,-3.46491575239125
4.58,-3.49048820431013
4.59,-3.51615362230843
4.6,-3.54191531743568
4.61,-3.56777681471858
4.62,-3.5937418572554
4.63,-3.61981441082261
4.64,-3.64599866915439
4.65,-3.67229906007496
4.66,-3.69872025268265
4.67,-3.72526716580379
4.68,-3.75194497795321
4.69,-3.77875913905682
4.7,-3.80571538420897
4.71,-3.83281974975448
4.72,-3.86007859200065
4.73,-3.88749860887891
4.74,-3.91508686488891
4.75,-3.94285081966899
4.76,-3.97079836054713
4.77,-3.99893783943432
4.78,-4.02727811442923
4.79,-4.0558285965079
4.8,-4.08459930167579
4.81,-4.11360090896198
4.82,-4.14284482463612
4.83,-4.17234325302878
4.84,-4.20210927433487
4.85,-4.23215692977775
4.86,-4.26250131450872
4.87,-4.29315867861268
4.88,-4.32414653658549
4.89,-4.35548378564153
4.9,-4.38719083320066
4.91,-4.41928973389163
4.92,-4.4518043363918
4.93,-4.48476044040097
4.94,-4.51818596401642
4.95,-4.55211112173658
4.96,-4.58656861326694
4.97,-4.62159382323298
4.98,-4.65722503181474
4.99,-4.69350363620233
5,-4.73047438262615
5.01,-4.76818560853155
5.02,-4.80668949423943
5.03,-4.84604232315206
5.04,-4.88630474921797
5.05,-4.9275420699501
5.06,-4.96982450278541
5.07,-5.01322746196888
5.08,-5.05783183242578
5.09,-5.10372423623843
5.1,-5.15099728635203
5.11,-5.19974982098291
5.12,-5.25008711087728
5.13,-5.30212103005684
5.14,-5.35597017897866
5.15,-5.41175994712763
5.16,-5.46962249995107
5.17,-5.52969667275049
5.18,-5.592127751689
5.19,-5.65706711949843
