Frequency,"dB(S(1:1,1:1))","S(1:1,1:1)"
3.05,-0.7392133668476009,(-0.3871882365066874+0.8328101785352201j)
3.06666666666667,-0.7537928038140334,(-0.36517486524290405+0.8410160334399073j)
3.0833333333333304,-0.7686733458216573,(-0.3429660632726086+0.8486220852531722j)
3.1,-0.7838590222595039,(-0.32057870682962625+0.855622666074376j)
3.11666666666667,-0.7993538381815175,(-0.2980298775056201+0.862012601867366j)
3.13333333333333,-0.815161768991604,(-0.27533684735296865+0.8677872216467791j)
3.15,-0.8312867549533854,(-0.25251706350117037+0.8729423662317999j)
3.1666666666666696,-0.8477326955283216,(-0.2295881322952471+0.8774743965386825j)
3.18333333333333,-0.8645034435464523,(-0.20656780296605864+0.8813802013830515j)
3.2,-0.8816027992146487,(-0.1834739508445563+0.8846572047626012j)
3.21666666666667,-0.8990345039674925,(-0.16032456013398907+0.8873033725906914j)
3.23333333333333,-0.9168022341668998,(-0.137137706255625+0.889317218851335j)
3.25,-0.9349095946569748,(-0.113931537785977+0.890697811146088j)
3.26666666666667,-0.9533601121809882,(-0.09072425800560784+0.8914447756036099j)
3.28333333333333,-0.9721572286685076,(-0.06753410608131583+0.8915583011230402j)
3.3,-0.9913042944008521,(-0.04437933790606339+0.8910391429228317j)
3.31666666666667,-1.010804561063798,(-0.021278206623176803+0.8898886253673677j)
3.3333333333333304,-1.030661174697363,(0.0017510571368370169+0.8881086440445377j)
3.35,-1.0508771685529616,(0.02469026527596246+0.8857016670684275j)
